2022 Year;  0 Month ; Temp =  40.00 ; Precip =   7.00; Height of grain =   3.83; Deer =  2
2025 Year; 11 Month ; Temp =  40.82 ; Precip =   7.00; Height of grain =   0.83; Deer =  0
2025 Year; 12 Month ; Temp =  41.72 ; Precip =   7.50; Height of grain =   2.66; Deer =  1
2026 Year;  0 Month ; Temp =  41.51 ; Precip =   7.48; Height of grain =   3.48; Deer =  2
2026 Year;  1 Month ; Temp =  51.52 ; Precip =  12.26; Height of grain =   3.31; Deer =  3
2026 Year;  2 Month ; Temp =  59.20 ; Precip =  13.81; Height of grain =   2.14; Deer =  4
2026 Year;  3 Month ; Temp =  57.30 ; Precip =  13.83; Height of grain =   0.00; Deer =  3
2026 Year;  4 Month ; Temp =  77.00 ; Precip =  12.19; Height of grain =   0.00; Deer =  2
2026 Year;  5 Month ; Temp =  78.56 ; Precip =   8.12; Height of grain =   0.00; Deer =  1
2026 Year;  6 Month ; Temp =  79.86 ; Precip =   5.23; Height of grain =   0.83; Deer =  0
2026 Year;  7 Month ; Temp =  79.59 ; Precip =   1.24; Height of grain =   2.66; Deer =  1
2026 Year;  8 Month ; Temp =  74.45 ; Precip =   0.00; Height of grain =   3.48; Deer =  2
2026 Year;  9 Month ; Temp =  56.20 ; Precip =   0.12; Height of grain =   6.80; Deer =  3
2026 Year; 10 Month ; Temp =  46.53 ; Precip =   2.28; Height of grain =   5.62; Deer =  4
2026 Year; 11 Month ; Temp =  44.89 ; Precip =   4.47; Height of grain =   3.45; Deer =  5
2026 Year; 12 Month ; Temp =  45.88 ; Precip =   8.82; Height of grain =   0.28; Deer =  4
2027 Year;  0 Month ; Temp =  44.74 ; Precip =  10.23; Height of grain =   0.00; Deer =  3
2027 Year;  1 Month ; Temp =  54.04 ; Precip =  12.66; Height of grain =   0.00; Deer =  2
2027 Year;  2 Month ; Temp =  46.88 ; Precip =  14.77; Height of grain =   0.00; Deer =  1
2027 Year;  3 Month ; Temp =  57.83 ; Precip =  12.02; Height of grain =   0.83; Deer =  0
2027 Year;  4 Month ; Temp =  74.54 ; Precip =  11.90; Height of grain =   2.66; Deer =  1
2027 Year;  5 Month ; Temp =  78.41 ; Precip =   7.93; Height of grain =   3.48; Deer =  2
2027 Year;  6 Month ; Temp =  83.61 ; Precip =   6.88; Height of grain =   3.31; Deer =  3
2027 Year;  7 Month ; Temp =  66.11 ; Precip =   2.70; Height of grain =   2.14; Deer =  4
2027 Year;  8 Month ; Temp =  60.91 ; Precip =   0.00; Height of grain =   0.00; Deer =  3
2027 Year;  9 Month ; Temp =  58.11 ; Precip =   2.50; Height of grain =   0.00; Deer =  2
2027 Year; 10 Month ; Temp =  45.01 ; Precip =   4.32; Height of grain =   0.00; Deer =  1
2027 Year; 11 Month ; Temp =  43.60 ; Precip =   6.23; Height of grain =   0.83; Deer =  0
2027 Year; 12 Month ; Temp =  39.67 ; Precip =   9.42; Height of grain =   2.66; Deer =  1
